id,time(s),value
0,0.037,1.49
0,0.039,1.49
0,0.040,1.49
0,0.042,1.49
0,0.078,1.49
0,0.079,1.49
0,0.079,1.49
0,0.080,1.49
0,0.119,1.49
0,0.120,1.49
0,0.121,1.49
0,0.122,1.49
0,0.161,1.49
0,0.162,1.49
0,0.163,1.49
0,0.177,1.49
0,0.202,1.49
0,0.202,1.49
0,0.203,1.49
0,0.204,1.49
0,0.244,1.49
0,0.244,1.49
0,0.245,1.49
0,0.246,1.49
0,0.285,1.49
0,0.286,1.49
0,0.287,1.49
0,0.301,1.49
0,0.326,1.49
0,0.327,1.49
0,0.327,1.49
0,0.328,1.49
0,0.368,1.49
0,0.369,1.49
0,0.370,1.49
0,0.371,1.49
0,0.409,1.49
0,0.410,1.49
0,0.412,1.49
0,0.430,1.49
0,0.450,1.49
0,0.451,1.49
0,0.451,1.49
0,0.452,1.49
0,0.492,1.49
0,0.492,1.49
0,0.493,1.49
0,0.494,1.49
0,0.533,1.49
0,0.534,1.49
0,0.535,1.49
0,0.549,1.49
0,0.575,1.49
0,0.575,1.49
0,0.575,1.49
0,0.576,1.49
0,0.616,1.49
0,0.616,1.49
0,0.617,1.49
0,0.619,1.49
0,0.658,1.49
0,0.659,1.49
0,0.660,1.49
0,0.681,1.49
0,0.699,1.49
0,0.706,1.49
0,0.706,1.49
0,0.707,1.49
0,0.740,1.49
0,0.742,1.49
0,0.743,1.49
0,0.745,1.49
0,0.782,1.49
0,0.783,1.49
0,0.785,1.49
0,0.811,1.49
0,0.823,1.49
0,0.840,1.49
0,0.840,1.49
0,0.841,1.49
0,0.865,1.49
0,0.871,1.49
0,0.872,1.49
0,0.874,1.49
0,0.906,1.49
0,0.907,1.49
0,0.909,1.49
0,0.924,1.49
0,0.947,1.49
0,0.948,1.49
0,0.948,1.49
0,0.949,1.49
0,0.989,1.49
0,0.990,1.49
0,0.991,1.49
0,0.993,1.49
0,1.030,1.49
0,1.031,1.49
0,1.033,1.49
0,1.045,1.49
0,1.072,1.49
0,1.072,1.49
0,1.072,1.49
0,1.073,1.49
0,1.113,1.49
0,1.113,1.49
0,1.114,1.49
0,1.115,1.49
0,1.154,1.49
0,1.155,1.49
0,1.155,1.49
0,1.162,1.49
0,1.196,1.49
0,1.196,1.49
0,1.196,1.49
0,1.197,1.49
0,1.237,1.49
0,1.237,1.49
0,1.238,1.49
0,1.238,1.49
0,1.279,1.49
0,1.279,1.49
0,1.280,1.49
0,1.289,1.49
0,1.323,1.49
0,1.323,1.49
0,1.323,1.49
0,1.324,1.49
0,1.361,1.49
0,1.362,1.49
0,1.362,1.49
0,1.364,1.49
0,1.403,1.49
0,1.404,1.49
0,1.405,1.49
0,1.423,1.49
0,1.444,1.49
0,1.451,1.49
0,1.451,1.49
0,1.453,1.49
0,1.486,1.49
0,1.486,1.49
0,1.487,1.49
0,1.489,1.49
0,1.527,1.49
0,1.528,1.49
0,1.530,1.49
0,1.556,1.49
0,1.568,1.49
0,1.588,1.49
0,1.589,1.49
0,1.590,1.49
0,1.610,1.49
0,1.610,1.49
0,1.610,1.49
0,1.611,1.49
0,1.651,1.49
0,1.652,1.49
0,1.652,1.49
0,1.662,1.49
0,1.693,1.49
0,1.693,1.49
0,1.693,1.49
0,1.693,1.49
0,1.734,1.49
0,1.734,1.49
0,1.734,1.49
0,1.735,1.49
0,1.775,1.49
0,1.776,1.49
0,1.777,1.49
0,1.794,1.49
0,1.817,1.49
0,1.817,1.49
0,1.817,1.49
0,1.818,1.49
0,1.858,1.49
0,1.859,1.49
0,1.860,1.49
0,1.861,1.49
0,1.899,1.49
0,1.900,1.49
0,1.901,1.49
0,1.910,1.49
0,1.941,1.49
0,1.941,1.49
0,1.942,1.49
0,1.942,1.49
0,1.982,1.49
0,1.982,1.49
0,1.983,1.49
0,1.984,1.49
0,2.024,1.49
0,2.025,1.49
0,2.026,1.49
0,2.047,1.49
0,2.065,1.49
0,2.075,1.49
0,2.076,1.49
0,2.077,1.49
0,2.107,1.49
0,2.107,1.49
0,2.108,1.49
0,2.110,1.49
0,2.148,1.49
0,2.149,1.49
0,2.151,1.49
0,2.176,1.49
0,2.189,1.49
0,2.206,1.49
0,2.206,1.49
0,2.208,1.49
0,2.231,1.49
0,2.236,1.49
0,2.237,1.49
0,2.239,1.49
0,2.272,1.49
0,2.274,1.49
0,2.276,1.49
0,2.302,1.49
0,2.314,1.49
0,2.333,1.49
0,2.333,1.49
0,2.335,1.49
0,2.355,1.49
0,2.363,1.49
0,2.364,1.49
0,2.368,1.49
0,2.396,1.49
0,2.398,1.49
0,2.400,1.49
0,2.425,1.49
0,2.438,1.49
0,2.455,1.49
0,2.456,1.49
0,2.457,1.49
0,2.479,1.49
0,2.486,1.49
0,2.488,1.49
0,2.489,1.49
0,2.520,1.49
0,2.521,1.49
0,2.523,1.49
0,2.541,1.49
0,2.562,1.49
0,2.562,1.49
0,2.562,1.49
0,2.563,1.49
0,2.603,1.49
0,2.604,1.49
0,2.605,1.49
0,2.606,1.49
0,2.645,1.50
0,2.646,1.50
0,2.648,1.50
0,2.649,1.50
0,2.686,1.50
0,2.687,1.50
0,2.687,1.50
0,2.688,1.50
0,2.727,1.50
0,2.728,1.50
0,2.729,1.50
0,2.730,1.50
0,2.769,1.50
0,2.770,1.50
0,2.771,1.50
0,2.796,1.50
0,2.810,1.50
0,2.829,1.50
0,2.830,1.50
0,2.831,1.50
0,2.852,1.50
0,2.860,1.50
0,2.861,1.50
0,2.862,1.50
0,2.893,1.51
0,2.894,1.51
0,2.896,1.51
0,2.897,1.51
0,2.935,1.51
0,2.945,1.51
0,2.945,1.51
0,2.948,1.51
0,2.976,1.51
0,2.976,1.51
0,2.977,1.51
0,2.979,1.51
0,3.017,1.51
0,3.018,1.51
0,3.020,1.51
0,3.050,1.51
0,3.059,1.51
0,3.089,1.51
0,3.089,1.51
0,3.091,1.51
0,3.100,1.51
0,3.128,1.51
0,3.129,1.51
0,3.131,1.51
0,3.158,1.51
0,3.159,1.52
0,3.160,1.52
0,3.182,1.52
0,3.184,1.52
0,3.184,1.52
0,3.186,1.52
0,3.207,1.52
0,3.224,1.52
0,3.229,1.52
0,3.230,1.52
0,3.231,1.52
0,3.266,1.52
0,3.267,1.52
0,3.268,1.52
0,3.269,1.52
0,3.307,1.52
0,3.307,1.52
0,3.307,1.52
0,3.308,1.52
0,3.348,1.52
0,3.349,1.52
0,3.350,1.52
0,3.351,1.52
0,3.390,1.52
0,3.391,1.52
0,3.392,1.52
0,3.412,1.53
0,3.431,1.53
0,3.436,1.53
0,3.437,1.53
0,3.437,1.53
0,3.473,1.53
0,3.473,1.53
0,3.474,1.53
0,3.475,1.53
0,3.514,1.53
0,3.515,1.53
0,3.516,1.53
0,3.539,1.53
0,3.556,1.53
0,3.571,1.53
0,3.571,1.53
0,3.572,1.53
0,3.597,1.53
0,3.602,1.53
0,3.603,1.53
0,3.605,1.53
0,3.638,1.53
0,3.639,1.53
0,3.641,1.53
0,3.671,1.53
0,3.680,1.53
0,3.703,1.53
0,3.703,1.53
0,3.704,1.54
0,3.721,1.54
0,3.731,1.54
0,3.732,1.54
0,3.733,1.54
0,3.763,1.54
0,3.763,1.54
0,3.765,1.54
0,3.783,1.54
0,3.804,1.54
0,3.807,1.54
0,3.807,1.54
0,3.809,1.54
0,3.845,1.54
0,3.845,1.54
0,3.846,1.54
0,3.848,1.54
0,3.887,1.54
0,3.888,1.54
0,3.889,1.54
0,3.911,1.54
0,3.928,1.54
0,3.935,1.54
0,3.936,1.54
0,3.937,1.54
0,3.969,1.54
0,3.970,1.54
0,3.971,1.54
0,3.972,1.54
0,4.011,1.54
0,4.012,1.55
0,4.013,1.55
0,4.036,1.55
0,4.083,1.55
0,4.085,1.55
0,4.086,1.55
0,4.087,1.55
0,4.094,1.55
0,4.117,1.55
0,4.119,1.55
0,4.121,1.55
0,4.155,1.55
0,4.157,1.55
0,4.159,1.55
0,4.187,1.55
0,4.189,1.55
0,4.191,1.55
0,4.219,1.55
0,4.221,1.55
0,4.223,1.55
0,4.253,1.55
0,4.254,1.55
0,4.256,1.55
0,4.287,1.55
0,4.288,1.55
0,4.290,1.55
0,4.320,1.55
0,4.322,1.55
0,4.323,1.55
0,4.341,1.55
0,4.342,1.55
0,4.343,1.56
0,4.354,1.56
0,4.355,1.56
0,4.356,1.56
0,4.384,1.56
0,4.384,1.56
0,4.386,1.56
0,4.405,1.56
0,4.425,1.56
0,4.430,1.56
0,4.430,1.56
0,4.431,1.56
0,4.466,1.56
0,4.467,1.56
0,4.468,1.56
0,4.469,1.56
0,4.508,1.56
0,4.510,1.56
0,4.511,1.56
0,4.543,1.56
0,4.549,1.56
0,4.579,1.56
0,4.579,1.56
0,4.581,1.56
0,4.590,1.56
0,4.614,1.56
0,4.616,1.56
0,4.618,1.56
0,4.649,1.56
0,4.650,1.56
0,4.651,1.56
0,4.673,1.57
0,4.676,1.57
0,4.677,1.57
0,4.678,1.57
0,4.706,1.57
0,4.715,1.57
0,4.742,1.57
0,4.744,1.57
0,4.746,1.57
0,4.756,1.57
0,4.779,1.57
0,4.780,1.57
0,4.796,1.57
0,4.797,1.57
0,4.798,1.57
0,4.813,1.57
0,4.813,1.57
0,4.839,1.57
0,4.839,1.57
0,4.840,1.57
0,4.842,1.57
0,4.880,1.57
0,4.882,1.57
0,4.884,1.57
0,4.918,1.57
0,4.922,1.57
0,4.955,1.57
0,4.955,1.57
0,4.957,1.57
0,4.963,1.57
0,4.994,1.58
0,4.997,1.58
0,4.999,1.58
0,5.005,1.58
0,5.039,1.58
0,5.041,1.58
0,5.070,1.58
0,5.097,1.58
0,5.098,1.58
0,5.098,1.58
0,5.099,1.58
0,5.101,1.58
0,5.124,1.58
0,5.125,1.58
0,5.127,1.58
0,5.163,1.58
0,5.164,1.58
0,5.166,1.58
0,5.202,1.58
0,5.204,1.58
0,5.205,1.58
0,5.244,1.58
0,5.245,1.58
0,5.248,1.58
0,5.284,1.58
0,5.286,1.58
0,5.288,1.58
0,5.325,1.58
0,5.327,1.58
0,5.329,1.58
0,5.366,1.58
0,5.369,1.58
0,5.370,1.58
0,5.407,1.58
0,5.409,1.58
0,5.412,1.58
0,5.448,1.58
0,5.450,1.58
0,5.452,1.58
0,5.480,1.58
0,5.481,1.58
0,5.482,1.58
0,5.496,1.58
0,5.497,1.58
0,5.498,1.58
0,5.510,1.58
0,5.510,1.58
0,5.511,1.58
0,5.521,1.58
0,5.521,1.58
0,5.522,1.58
0,5.533,1.58
0,5.533,1.58
0,5.534,1.58
0,5.544,1.59
0,5.545,1.59
0,5.545,1.59
0,5.546,1.59
0,5.554,1.59
0,5.584,1.59
0,5.584,1.59
0,5.585,1.59
0,5.585,1.59
0,5.625,1.59
0,5.626,1.59
0,5.628,1.59
0,5.651,1.59
0,5.667,1.59
0,5.678,1.59
0,5.678,1.59
0,5.679,1.59
0,5.708,1.59
0,5.709,1.59
0,5.710,1.59
0,5.711,1.59
0,5.750,1.59
0,5.751,1.59
0,5.752,1.61
0,5.776,1.61
0,5.791,1.61
0,5.802,1.61
0,5.803,1.61
0,5.804,1.61
0,5.832,1.61
0,5.833,1.61
0,5.833,1.61
0,5.834,1.61
0,5.874,1.61
0,5.875,1.61
0,5.876,1.61
0,5.895,1.61
0,5.915,1.61
0,5.916,1.61
0,5.917,1.61
0,5.918,1.61
0,5.956,1.61
0,5.956,1.61
0,5.957,1.61
0,5.957,1.61
0,5.998,1.62
0,5.999,1.62
0,5.999,1.62
0,6.000,1.62
0,6.039,1.62
0,6.040,1.62
0,6.040,1.62
0,6.040,1.62
0,6.081,1.62
0,6.081,1.62
0,6.081,1.62
0,6.082,1.62
0,6.122,1.62
0,6.123,1.62
0,6.124,1.62
0,6.137,1.62
0,6.164,1.62
0,6.164,1.62
0,6.164,1.62
0,6.165,1.62
0,6.205,1.63
0,6.205,1.63
0,6.207,1.63
0,6.208,1.63
0,6.246,1.63
0,6.248,1.63
0,6.249,1.63
0,6.269,1.63
0,6.288,1.63
0,6.292,1.63
0,6.292,1.63
0,6.293,1.63
0,6.329,1.63
0,6.329,1.63
0,6.330,1.63
0,6.332,1.63
0,6.371,1.63
0,6.372,1.63
0,6.374,1.63
0,6.393,1.63
0,6.412,1.64
0,6.414,1.64
0,6.414,1.64
0,6.415,1.64
0,6.453,1.64
0,6.454,1.64
0,6.455,1.64
0,6.456,1.64
0,6.495,1.64
0,6.496,1.64
0,6.497,1.64
0,6.518,1.64
0,6.536,1.64
0,6.540,1.64
0,6.540,1.64
0,6.541,1.64
0,6.578,1.64
0,6.578,1.64
0,6.579,1.64
0,6.580,1.65
0,6.619,1.65
0,6.630,1.65
