"Freq [GHz]","re(Z(1,1)) [] - Cap='0.5pF'","re(Z(1,1)) [] - Cap='0.6pF'","re(Z(1,1)) [] - Cap='0.7pF'","re(Z(1,1)) [] - Cap='0.8pF'","re(Z(1,1)) [] - Cap='0.9pF'","re(Z(1,1)) [] - Cap='1pF'","re(Z(1,1)) [] - Cap='1.1pF'","re(Z(1,1)) [] - Cap='1.2pF'","re(Z(1,1)) [] - Cap='1.3pF'","re(Z(1,1)) [] - Cap='1.4pF'","re(Z(1,1)) [] - Cap='1.5pF'","im(Z(1,1)) [] - Cap='0.5pF'","im(Z(1,1)) [] - Cap='0.6pF'","im(Z(1,1)) [] - Cap='0.7pF'","im(Z(1,1)) [] - Cap='0.8pF'","im(Z(1,1)) [] - Cap='0.9pF'","im(Z(1,1)) [] - Cap='1pF'","im(Z(1,1)) [] - Cap='1.1pF'","im(Z(1,1)) [] - Cap='1.2pF'","im(Z(1,1)) [] - Cap='1.3pF'","im(Z(1,1)) [] - Cap='1.4pF'","im(Z(1,1)) [] - Cap='1.5pF'"
1.00888888888889,5.97684780944276,6.75030462083751,7.67214245918843,8.85188500285816,10.4219248050625,11.9107471636897,15.3339117488894,19.4734980886596,26.195355446324,37.6563074590014,60.9718552991914,68.8058736059441,72.5233320643223,76.8113704564068,81.8403578791457,88.1474370938311,97.91990440312,104.944314353767,121.490494008845,139.721012948113,165.044461764229,203.609341485211
1.01111111111111,6.18856149144562,6.99653268844676,7.96163679397712,9.19906234562819,10.8499048883564,12.4295672124031,16.0421204339119,20.4646182729496,27.6782976970524,40.0870509942252,65.6407589119597,69.1459802336771,72.9131702411011,77.2645248703408,82.3746119580959,88.7897569862944,98.7560943403681,105.924637899053,122.880043973331,141.631824804458,167.765818784257,207.640089714266
1.01333333333333,6.40835539950621,7.25243518730772,8.26292239169467,9.56097695460683,11.2969633799632,12.9734941667936,16.7860970634639,21.5124232147033,29.2567954906014,42.6981465747884,70.7195737437285,69.4865302735525,73.3037636202673,77.7189675359974,82.9109265619486,89.4352481387232,99.5999379900509,106.912174480792,124.286387336524,143.569821553194,170.526624711067,211.693358598334
1.01555555555556,6.63650617308745,7.51835391240476,8.57643478134771,9.93820133086601,11.7638856204004,13.5437261754791,17.5675464069768,22.6201572747753,30.9371136042557,45.5032293834023,76.2433043732249,69.8272802147694,73.6948202335407,78.1743470321612,83.4488680534981,90.0833521493148,100.450885443909,107.90585945635,125.708134453645,145.532442322346,173.320448380362,215.743575015334
1.01777777777778,6.87329295092932,7.79463405106985,8.9026147461236,10.3313162683804,12.2514703701513,14.1415004147757,18.3882141788371,23.7911977577744,32.7258258349744,48.5166821469077,82.2483940707868,70.167963599179,74.086019496765,78.6302755164691,83.987954868054,90.7334442268308,101.30830129696,108.904477226088,127.143631513922,147.516564207735,176.139330118724,219.759016230491
1.02,7.11899628904009,8.0816228114068,9.24190658607323,10.7409085782277,12.7605266488727,14.7680907137196,19.2498798203994,25.0290473721704,34.6298003523851,51.7535772194001,88.772152526944,70.5082895534725,74.477010325712,79.0863262117386,84.5276540225667,91.3848280463217,102.171456434431,109.906647481172,128.590929701098,149.518425739424,178.973542250207,223.700772960778
1.02222222222222,7.37389690682754,8.37966782598878,9.59475607972903,11.167568391617,13.2918699434828,15.4248043838909,20.1543475064588,26.3373232891122,36.6561760097209,55.2295830800766,95.8519222279173,70.8479412898063,74.867409210021,79.5420308287288,85.0673775241717,92.0367304368756,103.039519306885,110.910810844244,130.04775195584,151.53354309636,181.811324024707,227.521629646708
1.02444444444444,7.63827424487797,8.68911530875948,9.9616081136976,11.6118859960738,13.846317712389,16.1129781319235,21.1034351337553,27.7197421574574,38.8123275647723,58.9608259964458,103.523915947073,71.1865745857501,75.2567982598786,79.996876944814,85.6064787052939,92.6882959422617,103.911546712907,111.91521401762,131.511457415198,153.556619162408,184.638591957426,231.164897105079
1.02666666666667,7.91240481735103,9.01030794234494,10.3429039481307,12.0744481572345,14.4246841097775,16.8339729209168,22.09896103412,29.1801003564548,41.1058174638238,62.9636960922101,111.821651078084,71.5238162569706,75.6447232435119,80.4503053629452,86.1442485197545,93.3385813072169,104.786474123309,112.917894595526,132.979003692879,155.581445815139,187.438628313409,234.563256658594
1.02888888888889,8.19656034162578,9.34358247255715,10.7390780852663,12.5558338774583,15.0277738515889,17.5891676355725,23.1427281436309,30.7222486927261,43.5443315393404,67.2545855861155,120.773904870083,71.8592626389082,76.0306916374867,80.9017074808445,86.6799118426772,93.9865499558081,105.663105598735,113.916665746252,134.446907276875,157.600800236557,190.191752873764,237.637706653733
1.03111111111111,8.49100562777549,9.68926698683632,11.1505547080775,13.0566095420623,15.6563751439335,18.3799513952135,24.2365053533207,32.3500606787846,46.1355956849126,71.84954569445,130.402122056341,72.1924780968932,76.4141707161861,81.3504227066302,87.2126238264244,94.6310665438716,106.540103374044,114.909101027583,135.911202461593,159.606336552116,192.874986321682,240.296742473115
1.03333333333333,8.79599621073553,10.0476778538389,11.5777436566293,13.5773234046962,16.3112515957084,19.2077143495364,25.3820057686634,34.0673934719465,48.8872703247178,76.763847854586,140.717228301015,72.522993587665,76.7945857117031,81.7957359640341,87.7414663753539,95.270891685047,107.415977208423,115.892519664642,137.367399403935,161.588474760838,195.461717719514,242.435948803549
1.03555555555556,9.11177570874464,10.419116302454,12.0210359112061,14.1184993654662,16.9931330405906,20.0738367847537,26.5808616167232,35.878040512481,51.806819325465,82.0114348653252,151.71584593122,72.8503052991243,77.1713180807012,82.2368753380258,88.2654448138391,95.9046769693487,108.289073630163,116.86397269352,138.810442099953,163.536289733398,197.92139371243,243.938234647979
1.03777777777778,9.43857289287709,10.8038646203547,12.4807985538316,14.6806299992449,17.7027051999894,20.9796763636481,27.8345955643355,37.7856748875649,54.9013499541422,87.6042486988261,163.375979601544,73.1738733993213,77.5437039205558,82.6730099199657,88.7834848346926,96.5309604144521,109.157565239778,117.820230456077,140.234667323343,165.437404040513,200.219253315434,244.67499018552
1.04,9.77659845434562,11.2021819549152,12.9573691836951,15.2641687975145,18.4405981286233,21.9265533231454,29.144588251231,39.7937824746542,58.1774206259091,93.5514246827239,175.652344559209,73.4931209301567,77.9110325832345,83.1032479202982,89.2944298287469,97.1481625126947,110.019440274752,118.757772020131,141.633765850109,167.277889536293,202.316139314584,244.508477774681
