"Freq [GHz]","re(Z(1,1)) [] - roateAngle='0deg'","re(Z(1,1)) [] - roateAngle='15deg'","re(Z(1,1)) [] - roateAngle='30deg'","re(Z(1,1)) [] - roateAngle='45deg'","re(Z(1,1)) [] - roateAngle='60deg'","re(Z(1,1)) [] - roateAngle='75deg'","im(Z(1,1)) [] - roateAngle='0deg'","im(Z(1,1)) [] - roateAngle='15deg'","im(Z(1,1)) [] - roateAngle='30deg'","im(Z(1,1)) [] - roateAngle='45deg'","im(Z(1,1)) [] - roateAngle='60deg'","im(Z(1,1)) [] - roateAngle='75deg'"
0.9,1.07594175776863,1.29562974882986,2.17530745306639,2.84033139848377,3.39349473873767,3.53021368439349,75.9265553070676,75.8784983290736,77.5750773751861,79.1506327217764,81.0978099885467,82.1704806124495
0.900222222222222,1.07551563299846,1.2949971367352,2.17362598304804,2.83821583488707,3.39126311207241,3.52818131594333,75.9565447685419,75.9102555310304,77.6065026808379,79.1794240447022,81.1255559782373,82.1972413702895
0.900444444444444,1.07509102834317,1.29436708434117,2.17195096072114,2.8361077791464,3.389039027243,3.5261555837783,75.9865219575472,75.9419938876796,77.63791079843,79.2082060289593,81.1532971663011,82.2240000489146
0.900666666666667,1.07466793935413,1.29373958128364,2.17028235714908,2.83400720103078,3.38682245731429,3.52413646678898,76.0164869232713,75.9737134812194,77.6693018036705,79.2369787132368,81.1810335723591,82.2507566576638
0.900888888888889,1.07424636160108,1.29311461725815,2.16862014356912,2.83191407047079,3.38461337547927,3.52212394395557,76.0464397146898,76.0054143934331,77.7006757718889,79.2657421360624,81.2087652159715,82.2775112058615
0.901111111111111,1.07382629067216,1.29249218201965,2.16696429139135,2.82982835755767,3.38241175505849,3.52011799434759,76.0763803805675,76.0370967056918,77.7320327780379,79.294496335803,81.2364921166377,82.3042637028175
0.901333333333333,1.07340772217369,1.29187226538198,2.16531477219722,2.8277500325422,3.3802175694992,3.51811859712333,76.1063089694593,76.0687604989569,77.7633728966964,79.3232413506657,81.264214293797,82.3310141578268
0.901555555555556,1.07299065173015,1.29125485721743,2.16367155773833,2.82567906583365,3.37803079237462,3.51612573152941,76.1362255297116,76.1004058537832,77.7946962020712,79.3519772186983,81.2919317668281,82.3577625801696
0.901777777777778,1.07257507498408,1.29063994745635,2.16203461993523,2.82361542799874,3.37585139738327,3.51413937690029,76.166130109463,76.1320328503208,77.8260027680002,79.3807039777908,81.31964455505,82.3845089791114
0.902,1.07216098759594,1.29002752608674,2.16040393087606,2.82155908976063,3.37367935834817,3.51215951265789,76.1960227566464,76.1636415683184,77.8572926679541,79.4094216656755,81.347352677722,82.4112533639029
0.902222222222222,1.0717483852441,1.28941758315381,2.15877946281546,2.8195100219979,3.37151464921617,3.51018611831107,76.225903518989,76.1952320871251,77.8885659750388,79.4381303199283,81.3750561540436,82.43799574378
0.902444444444444,1.07133726362469,1.28881010875961,2.15716118817321,2.81746819574354,3.36935724405723,3.50821917345524,76.2557724440143,76.2268044856937,77.9198227619979,79.4668299779695,81.4027550031552,82.4647361279638
0.902666666666667,1.07092761845153,1.28820509306256,2.15554907953311,2.81543358218391,3.36720711706368,3.50625865777187,76.2856295790427,76.2583588425826,77.951063101215,79.4955206770643,81.4304492441382,82.4914745256606
0.902888888888889,1.07051944545604,1.28760252627714,2.15394310964177,2.81340615265782,3.36506424254953,3.50430455102809,76.3154749711928,76.2898952359588,77.9822870647156,79.5242024543242,81.4581388960149,82.5182109460619
0.903111111111111,1.07011274038717,1.28700239867339,2.15234325140738,2.81138587865546,3.36292859494977,3.50235683307622,76.3453086673827,76.3214137435999,78.0134947241699,79.5528753467071,81.4858239777491,82.5449453983442
0.903333333333333,1.06970749901129,1.28640470057658,2.15074947789855,2.80937273181746,3.36080014881969,3.50041548385335,76.3751307143308,76.3529144428971,78.0446861508947,79.5815393910186,81.5135045082463,82.5716778916693
0.903555555555556,1.0693037171121,1.28580942236682,2.14916176234314,2.80736668393392,3.35867887883414,3.49848048338092,76.404941158557,76.3843974108571,78.0758614158554,79.6101946239126,81.5411805063535,82.598408435184
0.903777777777778,1.06890139049057,1.28521655447863,2.14758007812712,2.80536770694343,3.3565647597869,3.49655181176424,76.4347400463838,76.415862724105,78.1070205896689,79.6388410818923,81.56885199086,82.6251370380201
0.904,1.06850051496484,1.28462608740057,2.14600439879338,2.80337577293212,3.35445776658994,3.49462944919213,76.4645274239375,76.4473104588862,78.138163742605,79.6674788013107,81.5965189804971,82.6518637092949
0.904222222222222,1.06810108637011,1.28403801167488,2.14443469804062,2.80139085413269,3.35235787427281,3.49271337593643,76.4943033371491,76.4787406910696,78.1692909445891,79.6961078183717,81.6241814939387,82.6785884581103
0.904444444444444,1.06770310055861,1.28345231789708,2.14287094972223,2.79941292292349,3.35026505798189,3.49080357235164,76.5240678317554,76.5101534961488,78.2004022652042,79.7247281691305,81.6518395498012,82.7053112935537
0.904666666666667,1.06730655339946,1.2828689967156,2.14131312784511,2.79744195182759,3.34817929297978,3.48890001887444,76.5538209533,76.5415489492457,78.2314977736929,79.7533398894948,81.6794931666441,82.7320322246973
0.904888888888889,1.06691144077864,1.28228803883139,2.13976120656864,2.7954779135118,3.34610055464461,3.48700269602332,76.5835627471345,76.5729271251119,78.2625775389598,79.7819430152252,81.7071423629699,82.7587512605984
0.905111111111111,1.06651775859884,1.28170943499756,2.13821516020349,2.79352078078579,3.34402881846935,3.48511158439809,76.6132932584198,76.6042880981315,78.2936416295733,79.8105375819364,81.7347871572243,82.7854684102995
