id,time(s),value
0,3.386,1.66
0,3.388,1.66
0,3.420,1.66
0,3.421,1.66
0,3.423,1.66
0,3.456,1.66
0,3.458,1.66
0,3.460,1.66
0,3.493,1.66
0,3.495,1.66
0,3.497,1.66
0,3.529,1.66
0,3.531,1.66
0,3.533,1.66
0,3.566,1.66
0,3.567,1.66
0,3.570,1.66
0,3.594,1.66
0,3.595,1.66
0,3.597,1.66
0,3.621,1.66
0,3.623,1.66
0,3.624,1.66
0,3.659,1.66
0,3.661,1.66
0,3.664,1.66
0,3.698,1.66
0,3.699,1.66
0,3.700,1.66
0,3.719,1.66
0,3.720,1.66
0,3.721,1.66
0,3.742,1.66
0,3.743,1.66
0,3.744,1.66
0,3.768,1.66
0,3.769,1.66
0,3.772,1.66
0,3.806,1.66
0,3.808,1.66
0,3.810,1.66
0,3.846,1.66
0,3.847,1.67
0,3.850,1.67
0,3.885,1.67
0,3.888,1.67
0,3.890,1.67
0,3.891,1.67
0,3.929,1.67
0,3.931,1.67
0,3.964,1.67
0,3.966,1.67
0,3.967,1.67
0,3.968,1.67
0,3.985,1.67
0,3.986,1.67
0,3.998,1.67
0,3.999,1.67
0,3.999,1.67
0,4.010,1.67
0,4.010,1.67
0,4.011,1.68
0,4.023,1.68
0,4.023,1.68
0,4.024,1.68
0,4.025,1.68
0,4.037,1.68
0,4.038,1.68
0,4.050,1.68
0,4.056,1.68
0,4.063,1.68
0,4.064,1.68
0,4.064,1.68
0,4.097,1.68
0,4.097,1.68
0,4.098,1.68
0,4.099,1.68
0,4.138,1.68
0,4.139,1.68
0,4.141,1.69
0,4.164,1.69
0,4.180,1.69
0,4.197,1.69
0,4.198,1.69
0,4.199,1.69
0,4.221,1.69
0,4.230,1.69
0,4.231,1.69
0,4.232,1.69
0,4.262,1.69
0,4.263,1.69
0,4.265,1.69
0,4.282,1.69
0,4.304,1.69
0,4.304,1.69
0,4.304,1.69
0,4.305,1.70
0,4.345,1.70
0,4.345,1.70
0,4.347,1.70
0,4.348,1.70
0,4.386,1.70
0,4.388,1.70
0,4.389,1.70
0,4.408,1.70
0,4.428,1.70
0,4.430,1.70
0,4.430,1.70
0,4.431,1.70
0,4.469,1.70
0,4.470,1.70
0,4.471,1.70
0,4.472,1.70
0,4.510,1.70
0,4.512,1.70
0,4.513,1.70
0,4.532,1.70
0,4.552,1.70
0,4.554,1.70
0,4.554,1.70
0,4.555,1.70
0,4.593,1.70
0,4.594,1.70
0,4.595,1.70
0,4.596,1.70
0,4.635,1.70
0,4.636,1.70
0,4.637,1.70
0,4.657,1.70
0,4.676,1.70
0,4.679,1.70
0,4.679,1.70
0,4.680,1.71
0,4.717,1.71
0,4.717,1.71
0,4.718,1.71
0,4.718,1.71
0,4.759,1.71
0,4.759,1.71
0,4.760,1.71
0,4.769,1.71
0,4.800,1.71
0,4.800,1.71
0,4.800,1.71
0,4.801,1.71
0,4.842,1.71
0,4.842,1.71
0,4.842,1.71
0,4.843,1.71
0,4.883,1.73
0,4.885,1.73
