0.015081	0.102105	
0.015241	0.102456	
0.015276	0.102807	
0.015314	0.103158	
0.015373	0.103509	
0.015399	0.103860	
0.015452	0.104211	
0.015468	0.104561	
0.015588	0.104912	
0.015709	0.105263	
0.015739	0.105614	
0.015834	0.105965	
0.015938	0.106316	
0.015964	0.106667	
0.015967	0.107018	
0.016022	0.107368	
0.016036	0.107719	
0.016043	0.108070	
0.016088	0.108421	
0.016095	0.108772	
0.016100	0.109123	
0.016106	0.109474	
0.016115	0.109825	
0.016121	0.110175	
0.016176	0.110526	
0.016283	0.110877	
0.016286	0.111228	
0.016287	0.111579	
0.016409	0.111930	
0.016443	0.112281	
0.016461	0.112632	
0.016464	0.112982	
0.016497	0.113333	
0.016499	0.113684	
0.016519	0.114035	
0.016659	0.114386	
0.016661	0.114737	
0.016673	0.115088	
0.016676	0.115439	
0.016703	0.115789	
0.016707	0.116140	
0.016708	0.116491	
0.016854	0.116842	
0.016902	0.117193	
0.017020	0.117544	
0.017046	0.117895	
0.017068	0.118246	
0.017206	0.118596	
0.017292	0.118947	
0.017314	0.119298	
0.017398	0.119649	
0.017412	0.120000	
0.017447	0.120351	
0.017470	0.120702	
0.017646	0.121053	
0.017696	0.121404	
0.017726	0.121754	
0.017757	0.122105	
0.017832	0.122456	
0.017889	0.122807	
0.017935	0.123158	
0.018001	0.123509	
0.018073	0.123860	
0.018185	0.124211	
0.018190	0.124561	
0.018198	0.124912	
0.018230	0.125263	
0.018262	0.125614	
0.018348	0.125965	
0.018372	0.126316	
0.018377	0.126667	
0.018438	0.127018	
0.018462	0.127368	
0.018482	0.127719	
0.018710	0.128070	
0.018743	0.128421	
0.018758	0.128772	
0.018778	0.129123	
0.018911	0.129474	
0.018979	0.129825	
0.019001	0.130175	
0.019022	0.130526	
0.019128	0.130877	
0.019155	0.131228	
0.019197	0.131579	
0.019320	0.131930	
0.019363	0.132281	
0.019392	0.132632	
0.019427	0.132982	
0.019459	0.133333	
0.019488	0.133684	
0.019489	0.134035	
0.019539	0.134386	
0.019552	0.134737	
0.019812	0.135088	
0.019870	0.135439	
0.019870	0.135789	
0.019989	0.136140	
0.020038	0.136491	
0.020039	0.136842	
0.020254	0.137193	
0.020320	0.137544	
0.020357	0.137895	
0.020477	0.138246	
0.020577	0.138596	
0.020610	0.138947	
0.020683	0.139298	
0.020687	0.139649	
0.020747	0.140000	
0.020757	0.140351	
0.020800	0.140702	
0.020895	0.141053	
0.020953	0.141404	
0.020958	0.141754	
0.021194	0.142105	
0.021241	0.142456	
0.021258	0.142807	
0.021274	0.143158	
0.021290	0.143509	
0.021295	0.143860	
0.021332	0.144211	
0.021365	0.144561	
0.021371	0.144912	
0.021396	0.145263	
0.021425	0.145614	
0.021450	0.145965	
0.021476	0.146316	
0.021574	0.146667	
0.021609	0.147018	
0.021690	0.147368	
0.021715	0.147719	
0.021747	0.148070	
0.021788	0.148421	
0.021838	0.148772	
0.021869	0.149123	
0.021939	0.149474	
0.021984	0.149825	
0.021990	0.150175	
0.022025	0.150526	
0.022097	0.150877	
0.022152	0.151228	
0.022191	0.151579	
0.022211	0.151930	
0.022274	0.152281	
0.022374	0.152632	
0.022453	0.152982	
0.022479	0.153333	
0.022523	0.153684	
0.022620	0.154035	
0.022640	0.154386	
0.022643	0.154737	
0.022742	0.155088	
0.022756	0.155439	
0.022777	0.155789	
0.022844	0.156140	
0.022869	0.156491	
0.022885	0.156842	
0.023448	0.157193	
0.023457	0.157544	
0.023471	0.157895	
0.023480	0.158246	
0.023518	0.158596	
0.023563	0.158947	
0.023602	0.159298	
0.023611	0.159649	
0.023752	0.160000	
0.023873	0.160351	
0.023876	0.160702	
0.023981	0.161053	
0.024481	0.161404	
0.024564	0.161754	
0.024646	0.162105	
0.024654	0.162456	
0.024676	0.162807	
0.024729	0.163158	
0.024890	0.163509	
0.024938	0.163860	
0.025054	0.164211	
0.025059	0.164561	
0.025170	0.164912	
0.025281	0.165263	
0.025284	0.165614	
0.025374	0.165965	
0.025424	0.166316	
0.025466	0.166667	
0.025494	0.167018	
0.025524	0.167368	
0.025537	0.167719	
0.025607	0.168070	
0.025652	0.168421	
0.025746	0.168772	
0.025794	0.169123	
0.025794	0.169474	
0.025852	0.169825	
0.025965	0.170175	
0.026034	0.170526	
0.026056	0.170877	
0.026224	0.171228	
0.026276	0.171579	
0.026280	0.171930	
0.026313	0.172281	
0.026314	0.172632	
0.026377	0.172982	
0.026792	0.173333	
0.026814	0.173684	
0.026817	0.174035	
0.026834	0.174386	
0.026893	0.174737	
0.027248	0.175088	
0.027286	0.175439	
0.027300	0.175789	
0.027358	0.176140	
0.027442	0.176491	
0.027468	0.176842	
0.027496	0.177193	
0.027497	0.177544	
0.027511	0.177895	
0.027531	0.178246	
0.027614	0.178596	
0.027623	0.178947	
0.027670	0.179298	
0.027734	0.179649	
0.027746	0.180000	
0.027812	0.180351	
0.027836	0.180702	
0.027868	0.181053	
0.027877	0.181404	
0.027889	0.181754	
0.027890	0.182105	
0.027956	0.182456	
0.027979	0.182807	
0.028027	0.183158	
0.028136	0.183509	
0.028137	0.183860	
0.028269	0.184211	
0.028284	0.184561	
0.028379	0.184912	
0.028402	0.185263	
0.028469	0.185614	
0.028615	0.185965	
0.028633	0.186316	
0.028796	0.186667	
0.028869	0.187018	
0.029034	0.187368	
0.029125	0.187719	
0.029146	0.188070	
0.029270	0.188421	
0.029286	0.188772	
0.029348	0.189123	
0.029367	0.189474	
0.029386	0.189825	
0.029460	0.190175	
0.029480	0.190526	
0.029514	0.190877	
0.029808	0.191228	
0.029815	0.191579	
0.029823	0.191930	
0.030284	0.192281	
0.030305	0.192632	
0.030332	0.192982	
0.030404	0.193333	
0.030455	0.193684	
0.030529	0.194035	
0.030625	0.194386	
0.030665	0.194737	
0.030706	0.195088	
0.030742	0.195439	
0.030825	0.195789	
0.030826	0.196140	
0.030889	0.196491	
0.030928	0.196842	
0.031009	0.197193	
0.031026	0.197544	
0.031035	0.197895	
0.031042	0.198246	
0.031061	0.198596	
0.031078	0.198947	
0.031187	0.199298	
0.031292	0.199649	
0.031297	0.200000	
0.031302	0.200351	
0.031356	0.200702	
0.031371	0.201053	
0.031493	0.201404	
0.031511	0.201754	
0.031535	0.202105	
0.031663	0.202456	
0.031664	0.202807	
0.031912	0.203158	
0.031920	0.203509	
0.031960	0.203860	
0.032014	0.204211	
0.032026	0.204561	
0.032099	0.204912	
0.032192	0.205263	
0.032243	0.205614	
0.032254	0.205965	
0.032334	0.206316	
0.032356	0.206667	
0.032404	0.207018	
0.032418	0.207368	
0.032488	0.207719	
0.032592	0.208070	
0.032639	0.208421	
0.032736	0.208772	
0.032890	0.209123	
0.032986	0.209474	
0.033012	0.209825	
0.033017	0.210175	
0.033029	0.210526	
0.033035	0.210877	
0.033047	0.211228	
0.033135	0.211579	
0.033362	0.211930	
