14.500000	0.223291	0.022222	
15.500000	0.213248	0.025000	
16.500000	0.211966	0.033333	
17.500000	0.195940	0.033333	
18.500000	0.194658	0.033333	
19.500000	0.166453	0.022222	
20.500000	0.167949	0.022222	
21.500000	0.156838	0.030556	
22.500000	0.151068	0.047222	
23.500000	0.144872	0.022222	
24.500000	0.126496	0.025000	
25.500000	0.123932	0.008333	
26.500000	0.120726	0.025000	
27.500000	0.116239	0.025000	
28.500000	0.107265	0.025000	
29.500000	0.098291	0.025000	
30.500000	0.094444	0.016667	
31.500000	0.096368	0.016667	
