19.700000	161.888889	3.000000	
20.200000	159.580000	3.000000	
20.700000	160.240000	3.000000	
21.200000	159.780000	3.000000	
21.700000	160.180000	3.000000	
22.200000	160.620000	3.000000	
22.700000	160.320000	3.000000	
23.200000	158.980000	2.000000	
23.700000	159.000000	3.000000	
24.200000	157.260000	2.000000	
24.700000	157.320000	3.000000	
25.200000	155.040000	5.000000	
25.700000	150.400000	10.000000	
26.200000	150.220000	8.000000	
26.700000	148.660000	10.000000	
27.200000	148.060000	11.000000	
27.700000	145.320000	15.000000	
28.200000	144.980000	11.000000	
28.700000	142.400000	14.000000	
29.200000	139.380000	16.000000	
29.700000	132.780000	16.000000	
30.200000	129.640000	17.000000	
30.700000	128.560000	17.000000	
31.200000	126.820000	19.000000	
