id,time(s),value
0,3.384,1.65
0,3.385,1.65
0,3.386,1.65
0,3.405,1.65
0,3.406,1.65
0,3.407,1.65
0,3.425,1.65
0,3.426,1.65
0,3.427,1.65
0,3.446,1.65
0,3.447,1.65
0,3.448,1.65
0,3.468,1.65
0,3.474,1.65
0,3.490,1.65
0,3.490,1.65
0,3.491,1.65
0,3.515,1.65
0,3.516,1.65
0,3.517,1.65
0,3.519,1.65
0,3.557,1.65
0,3.558,1.65
0,3.560,1.65
0,3.585,1.65
0,3.598,1.65
0,3.614,1.65
0,3.615,1.65
0,3.616,1.65
0,3.640,1.65
0,3.654,1.65
0,3.656,1.65
0,3.658,1.65
0,3.693,1.65
0,3.695,1.65
0,3.697,1.65
0,3.731,1.65
0,3.733,1.65
0,3.735,1.65
0,3.772,1.65
0,3.773,1.65
0,3.776,1.65
0,3.812,1.65
0,3.813,1.65
0,3.815,1.65
0,3.852,1.65
0,3.854,1.65
0,3.856,1.65
0,3.892,1.65
0,3.894,1.65
0,3.896,1.65
0,3.932,1.65
0,3.933,1.65
0,3.936,1.65
0,3.978,1.65
0,3.980,1.65
0,3.982,1.65
0,4.019,1.65
0,4.021,1.65
0,4.023,1.65
0,4.059,1.65
0,4.061,1.65
0,4.063,1.65
0,4.100,1.65
0,4.101,1.65
0,4.134,1.65
0,4.137,1.65
0,4.138,1.65
0,4.140,1.65
0,4.163,1.65
0,4.165,1.65
0,4.166,1.65
0,4.179,1.65
0,4.180,1.65
0,4.180,1.65
0,4.190,1.65
0,4.191,1.65
0,4.192,1.65
0,4.200,1.65
0,4.200,1.65
0,4.201,1.65
0,4.209,1.65
0,4.210,1.65
0,4.210,1.65
0,4.221,1.65
0,4.222,1.65
0,4.223,1.65
0,4.233,1.65
0,4.234,1.65
0,4.260,1.65
0,4.260,1.65
0,4.261,1.65
0,4.262,1.65
0,4.302,1.65
0,4.302,1.65
0,4.303,1.65
0,4.316,1.65
0,4.343,1.65
0,4.344,1.65
0,4.344,1.65
0,4.345,1.65
0,4.384,1.65
0,4.385,1.65
0,4.386,1.65
0,4.387,1.65
0,4.426,1.65
0,4.427,1.65
0,4.428,1.65
0,4.445,1.65
0,4.467,1.65
0,4.467,1.65
0,4.468,1.65
0,4.469,1.65
0,4.508,1.65
0,4.509,1.65
0,4.510,1.65
0,4.511,1.65
0,4.550,1.65
0,4.551,1.65
0,4.552,1.65
0,4.569,1.65
0,4.591,1.65
0,4.591,1.65
0,4.592,1.65
0,4.593,1.65
0,4.632,1.65
0,4.633,1.65
0,4.634,1.65
0,4.635,1.65
0,4.674,1.65
0,4.675,1.65
0,4.676,1.65
0,4.693,1.65
0,4.715,1.65
0,4.716,1.65
0,4.716,1.65
0,4.717,1.65
0,4.757,1.65
0,4.757,1.65
0,4.758,1.65
0,4.759,1.65
0,4.798,1.65
0,4.799,1.65
0,4.801,1.65
0,4.818,1.65
0,4.840,1.65
0,4.840,1.65
0,4.840,1.65
0,4.841,1.65
0,4.881,1.65
0,4.881,1.65
0,4.883,1.65
0,4.885,1.65
0,4.922,1.66
0,4.925,1.66
0,4.927,1.66
0,4.929,1.66
0,4.964,1.66
0,4.967,1.66
0,5.001,1.66
0,5.003,1.66
0,5.005,1.66
0,5.007,1.66
0,5.042,1.66
0,5.044,1.66
0,5.079,1.66
0,5.081,1.66
0,5.083,1.66
0,5.102,1.66
0,5.103,1.66
0,5.103,1.66
0,5.113,1.66
0,5.114,1.66
0,5.129,1.66
0,5.129,1.66
0,5.130,1.66
0,5.130,1.67
0,5.171,1.67
0,5.172,1.67
0,5.173,1.67
0,5.174,1.67
0,5.212,1.67
0,5.214,1.67
0,5.215,1.67
0,5.216,1.67
0,5.253,1.67
0,5.253,1.67
0,5.254,1.67
0,5.256,1.67
0,5.295,1.67
0,5.296,1.67
0,5.297,1.67
0,5.317,1.67
0,5.336,1.67
0,5.339,1.67
0,5.339,1.67
0,5.340,1.67
0,5.377,1.68
0,5.378,1.68
0,5.379,1.68
0,5.380,1.68
0,5.419,1.68
0,5.420,1.68
0,5.421,1.68
0,5.443,1.68
0,5.460,1.68
0,5.467,1.68
0,5.468,1.68
0,5.469,1.68
0,5.502,1.68
0,5.502,1.68
0,5.503,1.68
0,5.504,1.68
0,5.543,1.68
0,5.544,1.68
0,5.545,1.68
0,5.567,1.68
0,5.584,1.68
0,5.589,1.69
0,5.589,1.69
0,5.591,1.69
0,5.626,1.69
0,5.626,1.69
0,5.627,1.69
0,5.628,1.69
0,5.667,1.69
0,5.668,1.69
0,5.669,1.69
0,5.689,1.69
0,5.708,1.69
0,5.716,1.69
0,5.717,1.69
0,5.718,1.69
0,5.750,1.69
0,5.750,1.69
0,5.751,1.69
0,5.753,1.69
0,5.791,1.70
0,5.793,1.70
0,5.794,1.70
0,5.796,1.70
0,5.832,1.70
0,5.847,1.70
0,5.847,1.70
0,5.848,1.70
0,5.874,1.70
0,5.875,1.70
0,5.877,1.70
0,5.878,1.70
0,5.915,1.70
0,5.916,1.70
0,5.918,1.70
0,5.943,1.70
0,5.957,1.70
0,5.967,1.70
0,5.968,1.70
0,5.969,1.70
0,5.998,1.70
0,5.998,1.70
0,5.999,1.70
0,6.000,1.70
0,6.039,1.70
0,6.040,1.70
0,6.041,1.70
0,6.055,1.70
0,6.081,1.70
0,6.081,1.70
0,6.081,1.70
0,6.082,1.70
0,6.122,1.70
0,6.122,1.70
